name,title,link,host_name,host_link
My Ruby Story,MRS 074: Andrew Mason,https://devchat.tv/my-ruby-story/mrs-074-andrew-mason/,Charles Max Wood,http://charlesmaxwood.com
Rails with Jason,Two Docker Noobs Talk About Docker - with Andrew Mason,https://www.codewithjason.com/rails-with-jason-podcast/andrew-mason-docker/,Jason Swett,https://www.codewithjason.com
Ruby Testing Podcast,015 - Testing Q&A with Listener Andrew Mason,https://podcasts.apple.com/us/podcast/the-ruby-testing-podcast/id1385192624?i=1000422112280,Jason Swett,https://www.codewithjason.com
Remote Ruby,Joined by Andrew Mason,https://share.transistor.fm/s/19f4de7e,Chris Oliver & Jason Charnes,https://remoteruby.transistor.fm
Ruby on Rails Podcast,320: ViewComponents in Action with Andrew Mason,https://5by5.tv/rubyonrails/320,Brittany Martin,https://brittanymartin.dev
