Title,URL,Show,Role
Joined by Andrew Mason,https://share.transistor.fm/s/19f4de7e,Shows%203be3c47e21e0415d95a81e6fe5ab3a46/Remote%20Ruby%20eeda21496a764330a1c991fa1805d1f2.md,interviewee
Two Docker Noobs Talk About Docker - with Andrew Mason,https://www.codewithjason.com/rails-with-jason-podcast/andrew-mason-docker/,Shows%203be3c47e21e0415d95a81e6fe5ab3a46/Rails%20with%20Jason%20c89fa003a9eb4629829c43f37988a39c.md,interviewee
320: ViewComponents in Action with Andrew Mason,https://5by5.tv/rubyonrails/320,Shows%203be3c47e21e0415d95a81e6fe5ab3a46/Ruby%20on%20Rails%20Podcast%204b4e43e8e3b642e8a988eceee299b929.md,interviewee
015 - Testing Q&A with Listener Andrew Mason,https://podcasts.apple.com/us/podcast/the-ruby-testing-podcast/id1385192624?i=1000422112280,Shows%203be3c47e21e0415d95a81e6fe5ab3a46/Ruby%20Testing%20Podcast%20f759416ec44444ac90196459f5d14faa.md,interviewee
MRS 074: Andrew Mason,https://devchat.tv/my-ruby-story/mrs-074-andrew-mason/,Shows%203be3c47e21e0415d95a81e6fe5ab3a46/My%20Ruby%20Story%20dc19de75ea934821a25a82e74b5e0f05.md,interviewee
